goal_eng,goal_fre,accepted_values,  target_value , duration_type , duration ,achievement_tags,category_name,category_level_name,evaluation_name_eng,evaluation_name_fre,evaluation_level_name ,evaluation_group_name_eng,evaluation_group_name_fre
Fwd crosscuts CWW,Croisés avant SCA," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 4 - Balance                                           , CanSkate                                            , CanSkate 4                                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 4 ,CanSkate 4 - Balance,Patinage plus étape 4 - Équilibre
FI slalom,Slalom AVI ," a:1:{s:4:""type"";s:4:""bool"";}   ",1, Months        ,1, CanSkate 4 - Balance                                           , CanSkate                                            , CanSkate 4                                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 4 , CanSkate 4 - Balance ,Patinage plus étape 4 - Équilibre
FO slalom,Slalom AVE," a:1:{s:4:""type"";s:4:""bool"";}   ",1, Months        ,1,CanSkate 4 - Balance  , CanSkate   , CanSkate 4   ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 4 , CanSkate 4 - Balance ,Patinage plus étape 4 - Équilibre
Fwd drag,Allongée avant (drag)," a:1:{s:4:""type"";s:4:""bool"";}   ",1, Months        ,1,CanSkate 4 - Balance  , CanSkate   , CanSkate 4   ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 4 , CanSkate 4 - Balance ,Patinage plus étape 4 - Équilibre
Fwd spiral,Arabesque avant," a:1:{s:4:""type"";s:4:""bool"";}   ",1, Months        ,1,CanSkate 4 - Balance  , CanSkate   , CanSkate 4   ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 4 , CanSkate 4 - Balance ,Patinage plus étape 4 - Équilibre
Drop-down drill,Exercice tomber et se relever," a:1:{s:4:""type"";s:4:""bool"";}                                                           ",1, Months        ,1, CanSkate 4 - Balance                                           , CanSkate                                            , CanSkate 4                                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 4 , CanSkate 4 - Balance ,Patinage plus étape 4 - Équilibre
"Fwd ""V"" start",Départ en Ç V È en patinage avant," a:1:{s:4:""type"";s:4:""bool"";}   ",1, Months        ,1,CanSkate 4 - Balance  , CanSkate   , CanSkate 4   ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 4 , CanSkate 4 - Balance ,Patinage plus étape 4 - Équilibre
Fwd crosscuts - figure 8,Croisés avant sur un tracé de la figure 8," a:1:{s:4:""type"";s:4:""bool"";}                                                          ",1, Months        ,1, CanSkate 5 - Balance                                           , CanSkate                                            , CanSkate 5                                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 5 , CanSkate 5 - Balance ,Patinage plus étape 5 - Équilibre
FI edges,Carres AVI," a:1:{s:4:""type"";s:4:""bool"";}   ",1, Months        ,1,CanSkate 5 - Balance  , CanSkate   , CanSkate 5   ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 5, CanSkate 5 - Balance ,Patinage plus étape 5 - Équilibre
Fwd push/glide sequence,Séquence de poussées et de glisses avant," a:1:{s:4:""type"";s:4:""bool"";}                                                                                                                                  ",1, Months        ,1, CanSkate 5 - Balance                                           , CanSkate                                            , CanSkate 5                                                             ,CanSkate - Balance,Patinage plus - Équilibre, CanSkate 5 , CanSkate 5 - Balance ,Patinage plus étape 5 - Équilibre
